name,symbol,token
UTTAMSUGAR,UTTAMSUGAR-EQ,13376
755TS30,755TS30-SG,13770
QUESS,QUESS-EQ,17704
667MH32,667MH32-SG,1251
715AP36,715AP36-SG,20919
TITAGARH,TITAGARH-EQ,15414
VESUVIUS,VESUVIUS-BL,12874
605AS25,605AS25-SG,62
CELEBRITY,CELEBRITY-BL,13166
EIFFL,EIFFL-BL,6043
L&TFINANCE,L&TFINANCE-NI,9235
ADANIENSOL,ADANIENSOL-EQ,10217
HOVS,HOVS-EQ,13592
68JK35,68JK35-SG,1009
JAGSNPHARM,JAGSNPHARM-BL,12502
687AS31A,687AS31A-SG,7041
LAMBODHARA,LAMBODHARA-BL,6411
SVPGLOB,SVPGLOB-BL,5022
ADROITINFO,ADROITINFO-EQ,4953
HIMATSEIDE,HIMATSEIDE-BL,12440
696TS51,696TS51-SG,3391
MINDSPACE,MINDSPACE-BL,22311
SREEL,SREEL-BL,31840
795JK30,795JK30-SG,21046
GOLDBEES,GOLDBEES-BL,14429
DBOL,DBOL-EQ,10893
VISESHINFO,VISESHINFO-BE,7306
CANBK,CANBK-EQ,10794
668AP24,668AP24-SG,20569
BURNPUR,BURNPUR-EQ,15194
708MP29,708MP29-SG,8351
748UK33,748UK33-SG,18532
M&MFIN,M&MFIN-BL,13287
TRIDENT,TRIDENT-BL,12182
738GJ30,738GJ30-SG,15260
JSWENERGY,JSWENERGY-EQ,17869
RAJRILTD,RAJRILTD-BE,8428
CREDITACC,CREDITACC-NE,18498
GRMOVER,GRMOVER-EQ,10871
REGENCERAM,REGENCERAM-BE,9051
67ML30,67ML30-SG,83
CENTUM,CENTUM-BE,14985
693TS37,693TS37-SG,5896
IBULHSGFIN,IBULHSGFIN-Z1,11335
542RJ24,542RJ24-SG,2662
FIEMIND,FIEMIND-BL,13714
SGBNOV26,SGBNOV26-GB,6355
JAICORPLTD,JAICORPLTD-BL,12503
ASTRAZEN,ASTRAZEN-BL,12221
RAILTEL,RAILTEL-EQ,2431
OBCL,OBCL-EQ,8797
AKSHOPTFBR,AKSHOPTFBR-BL,12192
SGBJUL27,SGBJUL27-GB,11154
767AS33A,767AS33A-SG,14092
CPSEETF,CPSEETF-EQ,2328
PAKKA,PAKKA-BL,17199
747HR33,747HR33-SG,18529
364D121023,364D121023-TB,11519
YCCL,YCCL-SM,17627
PRSMJOHNSN,PRSMJOHNSN-BL,12688
717AS31,717AS31-SG,2548
KMSUGAR,KMSUGAR-BL,14670
706GS2046,706GS2046-GS,7184
807WB38,807WB38-SG,10478
741PN34,741PN34-SG,16804
698TN31A,698TN31A-SG,5230
SPLPETRO,SPLPETRO-BL,9620
678RJ31A,678RJ31A-SG,3373
ABSLFTTQDG,ABSLFTTQDG-MF,8676
IMAGICAA,IMAGICAA-EQ,7672
FINPIPE,FINPIPE-EQ,1041
GREAVESCOT,GREAVESCOT-BL,12410
KMSUGAR,KMSUGAR-EQ,14667
KABRAEXTRU,KABRAEXTRU-BL,12528
765TN33,765TN33-SG,13874
SETF10GILT,SETF10GILT-EQ,17395
BAGFILMS,BAGFILMS-BL,12232
RAIN,RAIN-BL,15340
71JK33,71JK33-SG,4894
SDBL,SDBL-BL,1343
BBTCL,BBTCL-BL,12167
ICICICONSU,ICICICONSU-BL,6456
SPANDANA,SPANDANA-EQ,11435
SPTL,SPTL-BL,21465
AVALON,AVALON-BL,15065
699GA31B,699GA31B-SG,5333
651KA31,651KA31-SG,21419
MGEL,MGEL-BL,1599
PURVA,PURVA-EQ,14922
UFO,UFO-BL,9050
TEXRAIL,TEXRAIL-EQ,21828
RAILTEL,RAILTEL-BL,2443
715AP37,715AP37-SG,5004
MANGLMCEM,MANGLMCEM-EQ,2106
783GA32,783GA32-SG,11683
HATHWAY,HATHWAY-EQ,18154
BANKNIFTY,BANKNIFTY,26009
DYNAMIC,DYNAMIC-SM,6079
PRAKASH,PRAKASH-EQ,2708
KPIL,KPIL-EQ,1814
A2ZINFRA,A2ZINFRA-BL,20909
UTFIAIPRGI,UTFIAIPRGI-MF,24055
JTEKTINDIA,JTEKTINDIA-EQ,3237
599MP26,599MP26-SG,5525
AXSENSEX,AXSENSEX-BL,14744
ICDSLTD,ICDSLTD-BE,9610
ANDHRAPAP,ANDHRAPAP-BL,12211
VENUSREM,VENUSREM-BL,13857
SFMP6DR,SFMP6DR-MF,10052
TIDEWATER,TIDEWATER-BL,14022
IBULHSGFIN,IBULHSGFIN-AR,17501
745RJ33,745RJ33-SG,15309
BECTORFOOD,BECTORFOOD-BL,1637
NTPC,NTPC-BL,12641
LATTEYS,LATTEYS-BE,15848
SGBSEP24,SGBSEP24-GB,18795
ABSLFTTIDG,ABSLFTTIDG-MF,4962
PVP,PVP-BL,12152
BIRLAMONEY,BIRLAMONEY-EQ,15239
IIFL,IIFL-NM,6200
660TS30,660TS30-SG,22195
GS071224C,GS071224C-GS,4085
IRFC,IRFC-NL,15110
694TN50,694TN50-SG,22126
PREMIER,PREMIER-BL,12685
KPRMILL,KPRMILL-EQ,14912
CHEMFAB,CHEMFAB-EQ,2799
BANKETF,BANKETF-BL,17425
POKARNA,POKARNA-EQ,17651
VINYLINDIA,VINYLINDIA-BL,16825
UNIVCABLES,UNIVCABLES-BL,12859
763HP37,763HP37-SG,13127
MARUTI,MARUTI-BL,12587
AXISHCETF,AXISHCETF-EQ,3608
MEGAFLEX,MEGAFLEX-SM,10971
WILLAMAGOR,WILLAMAGOR-EQ,3772
ASIANENE,ASIANENE-BL,7032
695TN31B,695TN31B-SG,5471
SMVD,SMVD-SM,847
SUVEN,SUVEN-BL,12805
SAGARDEEP,SAGARDEEP-EQ,8175
364D160524,364D160524-TB,15799
NATIONALUM,NATIONALUM-EQ,6364
SUNPHARMA,SUNPHARMA-BL,12794
NIFTY SMLCAP 250,NIFTY SMLCAP 250,99926062
CELLPOINT,CELLPOINT-SM,16950
PPAP,PPAP-BL,15212
CRISIL,CRISIL-EQ,757
726HP29,726HP29-SG,16638
GULFPETRO,GULFPETRO-EQ,11581
LINDEINDIA,LINDEINDIA-EQ,1627
CASTROLIND,CASTROLIND-BL,1258
VINEETLAB,VINEETLAB-EQ,3807
EASEMYTRIP,EASEMYTRIP-EQ,2792
DMCC,DMCC-EQ,6973
699UP31B,699UP31B-SG,6350
UFDS2QPIG5,UFDS2QPIG5-MF,29869
747UK33,747UK33-SG,18402
CSLFINANCE,CSLFINANCE-BL,10352
ALOKINDS,ALOKINDS-EQ,17675
UMANGDAIRY,UMANGDAIRY-EQ,11387
GS120626C,GS120626C-GS,4389
SUZLON,SUZLON-EQ,12018
704TS32,704TS32-SG,7315
CHOLAFIN,CHOLAFIN-N4,15374
STEELCITY,STEELCITY-BL,10425
ESSARSHPNG,ESSARSHPNG-BL,25637
765KA34,765KA34-SG,13384
PCJEWELLER,PCJEWELLER-EQ,29124
735MP29,735MP29-SG,21982
TRIVENI,TRIVENI-EQ,13081
NDTV,NDTV-BL,12627
CUB,CUB-BL,12317
GS260426C,GS260426C-GS,4382
736WB41,736WB41-SG,17461
BSE,BSE-BL,19588
DCM,DCM-BL,12067
MPSLTD,MPSLTD-EQ,10578
ALOKINDS,ALOKINDS-BL,17673
RTNINDIA,RTNINDIA-BL,27300
161NSETEST,161NSETEST-EQ,14784
INDINFR,INDINFR-IV,2892
SGBMAR28X,SGBMAR28X-GB,18451
654KA30,654KA30-SG,1453
724JK36,724JK36-SG,2563
L&TFINANCE,L&TFINANCE-NV,9674
ASHAPURMIN,ASHAPURMIN-BE,7814
ONEPOINT,ONEPOINT-BE,9940
72TS51,72TS51-SG,2659
NAVNETEDUL,NAVNETEDUL-EQ,2385
CUMMINSIND,CUMMINSIND-EQ,1901
VASCONEQ,VASCONEQ-BL,18113
SFMP71DR,SFMP71DR-MF,12278
HDFC1406DQ,HDFC1406DQ-MF,10840
KOTHARIPRO,KOTHARIPRO-BL,12548
783AS32,783AS32-SG,10357
582TS24,582TS24-SG,22193
IF3GPD,IF3GPD-MF,18175
PAGEIND,PAGEIND-BL,14415
SFMP73DD,SFMP73DD-MF,13102
FACT,FACT-BL,12362
539RJ24,539RJ24-SG,22339
BANKBEES,BANKBEES-EQ,11439
EICHERMOT,EICHERMOT-BL,12341
HTMEDIA,HTMEDIA-BL,12452
775GJ32,775GJ32-SG,11400
IRFC,IRFC-N9,597
MAHAPEXLTD,MAHAPEXLTD-BL,12976
SGBNOV258,SGBNOV258-GB,497
667UK30,667UK30-SG,76
ICICI500,ICICI500-EQ,3001
SWASTIK,SWASTIK-SM,11492
715GA32,715GA32-SG,8326
ENIL,ENIL-EQ,13192
ABSLBANETF,ABSLBANETF-BL,13988
ICICIGOLD,ICICIGOLD-EQ,19679
728JH36,728JH36-SG,2688
783HR32,783HR32-SG,11507
778MZ37,778MZ37-SG,11294
KNRCON,KNRCON-BL,15286
69KA31,69KA31-SG,6743
INCREDFIN,INCREDFIN-N4,14040
796AP40,796AP40-SG,10643
TCIEXP,TCIEXP-BL,19226
786AS32,786AS32-SG,9916
772GS2055,772GS2055-GS,7136
696KA31A,696KA31A-SG,7304
IMPAL,IMPAL-EQ,12009
765HR33,765HR33-SG,13882
SENCO,SENCO-EQ,17271
IGL,IGL-EQ,11262
DECCANCE,DECCANCE-EQ,14838
IBULHSGFIN,IBULHSGFIN-ZF,11830
HUDCO,HUDCO-N7,29650
BPF01D1D,BPF01D1D-MF,18164
XELPMOC,XELPMOC-BL,8480
691AS30,691AS30-SG,431
BPF02D5R,BPF02D5R-MF,18062
LICNETFN50,LICNETFN50-BL,11320
INTENTECH,INTENTECH-BL,20076
545AP24,545AP24-SG,20281
ZODIACLOTH,ZODIACLOTH-BL,12907
SGBN28VIII,SGBN28VIII-GB,1342
BANSWRAS,BANSWRAS-BL,14514
668JH32,668JH32-SG,1376
ROUTE,ROUTE-EQ,128
703KL30,703KL30-SG,21915
SFMP72DR,SFMP72DR-MF,12556
ABNINT,ABNINT-IT,8588
UTTAMSUGAR,UTTAMSUGAR-BL,13378
SADBHIN,SADBHIN-BE,10622
IBULHSGFIN,IBULHSGFIN-NZ,7734
CLEDUCATE,CLEDUCATE-BO,18141
DPABHUSHAN,DPABHUSHAN-BL,944
FORTIS,FORTIS-EQ,14592
KIRLOSIND,KIRLOSIND-EQ,19025
705AP31,705AP31-SG,21237
777HR33,777HR33-SG,14825
ASAL,ASAL-EQ,10634
PCHFL,PCHFL-N7,5145
PAYTM,PAYTM-BL,6710
ITC,ITC-EQ,1660
SHK,SHK-EQ,11212
ELGIEQUIP,ELGIEQUIP-EQ,937
MINDTECK,MINDTECK-EQ,18049
UMESLTD,UMESLTD-BE,19145
HLVLTD,HLVLTD-EQ,1448
BHARATFORG,BHARATFORG-EQ,422
SGBOCT27,SGBOCT27-GB,13981
714TN32,714TN32-SG,8325
91D091123,91D091123-TB,17853
763TS36,763TS36-SG,13718
ABB,ABB-EQ,13
UTIBANKETF,UTIBANKETF-EQ,22440
744RJ33,744RJ33-SG,17122
ASPINWALL,ASPINWALL-BL,17275
ARVINDFASN,ARVINDFASN-BL,9113
CCL,CCL-EQ,11452
77KL47,77KL47-SG,11424
CARYSIL,CARYSIL-EQ,1879
AKASH,AKASH-EQ,13510
INDSWFTLTD,INDSWFTLTD-BE,11605
FAIRCHEMOR,FAIRCHEMOR-BL,1616
RGL,RGL-EQ,15129
832GS2032,832GS2032-GS,6899
UTIDGR35P2,UTIDGR35P2-MF,13153
784HP37,784HP37-SG,11874
HINDCOPPER,HINDCOPPER-EQ,17939
694ML25,694ML25-SG,10524
IRFC,IRFC-BL,2033
703TN46,703TN46-SG,3719
IBULHSGFIN,IBULHSGFIN-NA,18628
GICRE,GICRE-EQ,277
IRFC,IRFC-NI,11751
54KL24,54KL24-SG,2722
DHARMAJ,DHARMAJ-EQ,13001
SIGACHI,SIGACHI-EQ,6663
DATAPATTNS,DATAPATTNS-BL,7370
749HR33,749HR33-SG,18081
ETHOSLTD,ETHOSLTD-BL,9753
699MH29,699MH29-SG,8128
YAARI,YAARI-BE,25003
HONAUT,HONAUT-BL,12450
IBUCCREDIT,IBUCCREDIT-NT,15231
678TS50,678TS50-SG,878
ORTEL,ORTEL-BZ,13321
HDFC1406DD,HDFC1406DD-MF,10838
NILASPACES,NILASPACES-BE,7450
ARENTERP,ARENTERP-BL,12917
HBSL,HBSL-BL,4119
743JK53,743JK53-SG,17850
LATENTVIEW,LATENTVIEW-EQ,6818
HFCL,HFCL-BL,21955
772WB38,772WB38-SG,11295
INDIAMART,INDIAMART-BL,10728
653HP29,653HP29-SG,1215
BOSCHLTD,BOSCHLTD-BL,12595
SOFTTECH,SOFTTECH-EQ,8266
PRAENG,PRAENG-EQ,13941
POONAWALLA,POONAWALLA-BL,12572
GENESYS,GENESYS-EQ,10905
694TN25,694TN25-SG,22132
MAGNUM,MAGNUM-BE,14961
696KA31,696KA31-SG,6095
BASILIC,BASILIC-SM,18442
TARC,TARC-EQ,1581
SNOWMAN,SNOWMAN-BL,4848
BPF02RWR,BPF02RWR-MF,18163
VINNY,VINNY-BL,12512
525AS24,525AS24-SG,6555
VISHWARAJ,VISHWARAJ-EQ,13702
SIGMA,SIGMA-EQ,16658
MAITHANALL,MAITHANALL-EQ,24538
BHARTIARTL,BHARTIARTL-BL,12259
IIFCL,IIFCL-N4,20058
694AS31,694AS31-SG,6556
LATTEYS,LATTEYS-BL,15857
INDOTECH,INDOTECH-BE,13278
SKYGOLD,SKYGOLD-BL,13638
683MH32A,683MH32A-SG,3665
684KL33,684KL33-SG,3656
LTGILTBEES,LTGILTBEES-EQ,17700
ICICI500,ICICI500-BL,3015
LGBBROSLTD,LGBBROSLTD-EQ,18321
ISMTLTD,ISMTLTD-BL,14935
699GJ26,699GJ26-SG,21053
662UK30,662UK30-SG,617
758RJ48,758RJ48-SG,14354
SATINDLTD,SATINDLTD-BL,12019
SHREERAMA,SHREERAMA-BE,7634
NIFTY MIDCAP 100,NIFTY MIDCAP 100,99926011
MOTHERSON,MOTHERSON-BL,12605
749GJ28,749GJ28-SG,14812
IBULHSGFIN,IBULHSGFIN-YG,9150
70RJ31,70RJ31-SG,5036
691MH34,691MH34-SG,5679
HDFCQUAL,HDFCQUAL-EQ,11255
SPECIALITY,SPECIALITY-EQ,27107
GMMPFAUDLR,GMMPFAUDLR-BL,1573
LATENTVIEW,LATENTVIEW-BL,6823
IBULHSGFIN,IBULHSGFIN-AQ,17488
65NL30,65NL30-SG,991
727HR30,727HR30-SG,9344
SGBFEB24,SGBFEB24-GB,18385
684RJ31A,684RJ31A-SG,4571
PHARMABEES,PHARMABEES-BL,4978
GANESHHOUC,GANESHHOUC-EQ,14339
VIMTALABS,VIMTALABS-BL,13105
KOTAKGOLD,KOTAKGOLD-EQ,14858
772AS33,772AS33-SG,14539
699WB36A,699WB36A-SG,5895
789WB37,789WB37-SG,10553
771AP32,771AP32-SG,9711
714AP41,714AP41-SG,5236
INDTERRAIN,INDTERRAIN-EQ,21957
RALLIS,RALLIS-BL,12700
OLECTRA,OLECTRA-BL,12079
IBULHSGFIN,IBULHSGFIN-AB,14678
683MH31,683MH31-SG,4752
722AP28,722AP28-SG,22031
EVEREADY,EVEREADY-EQ,11782
771AS33,771AS33-SG,14160
FICRF3DP,FICRF3DP-MF,18178
SHIVAUM,SHIVAUM-SM,13446
687RJ31,687RJ31-SG,5561
705WB30,705WB30-SG,22143
3RDROCK,3RDROCK-IT,5621
BCONCEPTS,BCONCEPTS-BE,7783
RTNPOWER,RTNPOWER-BL,17523
663WB41,663WB41-SG,1902
659RJ30A,659RJ30A-SG,1241
766GJ30,766GJ30-SG,14269
INSECTICID,INSECTICID-BL,14659
DHANILOANS,DHANILOANS-NF,10628
SPENTEX,SPENTEX-BZ,22439
SEPC,SEPC-BL,15311
RBMINFRA,RBMINFRA-SM,13570
STEL,STEL-BL,21487
IIFL,IIFL-NF,2877
63PY27,63PY27-SG,7153
BSHSL,BSHSL-EQ,809
745GJ31,745GJ31-SG,18938
GREAVESCOT,GREAVESCOT-EQ,1235
MANORG,MANORG-EQ,6422
LAXMIMACH,LAXMIMACH-BL,12555
HDFC1406RG,HDFC1406RG-MF,10842
734GA32,734GA32-SG,8692
EQUIPPP,EQUIPPP-BL,3565
SUNFLAG,SUNFLAG-EQ,3348
738AP35,738AP35-SG,16244
724AP35,724AP35-SG,21645
696TN51,696TN51-SG,3578
PRITI,PRITI-BL,8313
364D300524,364D300524-TB,16412
PRIMESECU,PRIMESECU-EQ,11864
AVTNPL,AVTNPL-BL,14011
746AP41,746AP41-SG,18539
NEXT50,NEXT50-BL,17183
RUBYMILLS,RUBYMILLS-EQ,2939
ABSLFTUJRN,ABSLFTUJRN-MF,14804
772MP38,772MP38-SG,13977
MINDTECK,MINDTECK-BL,18052
HERCULES,HERCULES-BL,15291
KOTAKNV20,KOTAKNV20-BL,11458
IFBIND,IFBIND-EQ,1485
LODHA,LODHA-EQ,3220
IRFC,IRFC-NN,15134
EBBETF0433,EBBETF0433-BL,13141
IMC1,IMC1-N3,14228
UTFIQIPRRI,UTFIQIPRRI-MF,25460
DOLATALGO,DOLATALGO-EQ,12124
BEDMUTHA,BEDMUTHA-BL,20199
704GJ30,704GJ30-SG,20359
ICICIFMCG,ICICIFMCG-BL,5308
GMDCLTD,GMDCLTD-EQ,5204
HDFCMOMENT,HDFCMOMENT-EQ,11538
DALBHARAT,DALBHARAT-BL,8091
TITAN,TITAN-BL,12835
MAWANASUG,MAWANASUG-BL,17025
PROV,PROV-SM,16483
HDIL,HDIL-BZ,17920
364D120924,364D120924-TB,18542
JAKHARIA,JAKHARIA-SM,3949
THEMISMED,THEMISMED-EQ,14485
CALSOFT,CALSOFT-BL,12282
GENUSPOWER,GENUSPOWER-EQ,11905
364D160824,364D160824-TB,18112
IRCON,IRCON-EQ,4986
BSLIFQPIDG,BSLIFQPIDG-MF,29556
BAJAJ-AUTO,BAJAJ-AUTO-EQ,16669
575TN25,575TN25-SG,22105
BALKRISIND,BALKRISIND-BL,13174
SURYAROSNI,SURYAROSNI-BL,12803
EMBASSY,EMBASSY-RR,9383
POWERINDIA,POWERINDIA-BL,18458
699WB30,699WB30-SG,5172
CREDITACC,CREDITACC-NC,18485
NIFTY SMLCAP 100,NIFTY SMLCAP 100,99926032
746TS48A,746TS48A-SG,15333
PILITA,PILITA-BE,30838
COALINDIA,COALINDIA-EQ,20374
SUVENPHAR,SUVENPHAR-EQ,17945
SKFINDIA,SKFINDIA-BL,12765
768JK37,768JK37-SG,12701
495ML24,495ML24-SG,5554
709MP30,709MP30-SG,21991
BHARATGEAR,BHARATGEAR-BL,12258
GRAUWEIL,GRAUWEIL-BL,5202
745TS30A,745TS30A-SG,17637
INDINFR,INDINFR-BL,2902
729MZ33,729MZ33-SG,7898
NDRAUTO,NDRAUTO-BE,22257
EMAMIREAL,EMAMIREAL-BL,19280
SBFC,SBFC-EQ,18026
PNB,PNB-EQ,10666
BRITANNIA,BRITANNIA-N3,5066
RGL,RGL-BL,15131
729RJ32,729RJ32-SG,8684
SHAKTIPUMP,SHAKTIPUMP-BL,25577
364D140324,364D140324-TB,14573
712AP35,712AP35-SG,5041
IRFC,IRFC-N4,29323
763GS2059,763GS2059-GS,9907
BPF01MDD,BPF01MDD-MF,18170
SOMATEX,SOMATEX-BE,9104
KIMS,KIMS-BL,4857
SGBNV29VII,SGBNV29VII-GB,6518
GAIL,GAIL-EQ,4717
JITFINFRA,JITFINFRA-BL,19694
ONELIFECAP,ONELIFECAP-EQ,25492
702AP41,702AP41-SG,5569
UNOMINDA,UNOMINDA-EQ,14154
74AP43,74AP43-SG,18413
66PN30,66PN30-SG,1165
DAAWAT,DAAWAT-BL,13818
STLTECH,STLTECH-EQ,9309
NIFTY200 QUALTY30,NIFTY200 QUALTY30,99926064
TATAELXSI,TATAELXSI-BL,12812
GODREJPROP,GODREJPROP-BL,17878
PRECWIRE,PRECWIRE-EQ,2717
ANDREWYU,ANDREWYU-EQ,5206
EBBETF0430,EBBETF0430-EQ,16253
697RJ30,697RJ30-SG,22057
664UP31,664UP31-SG,2024
BIOCON,BIOCON-BL,13043
NLCINDIA,NLCINDIA-EQ,8585
683MH32B,683MH32B-SG,4580
EROSMEDIA,EROSMEDIA-BL,20083
662CG28,662CG28-SG,6315
ICICILIQ,ICICILIQ-EQ,4838
MWL,MWL-SM,10311
739HR31,739HR31-SG,15500
ARSSINFRA,ARSSINFRA-BE,18206
734MH31,734MH31-SG,16782
FINCABLES,FINCABLES-BL,12368
729HP31,729HP31-SG,16641
769BR32,769BR32-SG,11282
GATECH,GATECH-BL,18017
KIRLOSBROS,KIRLOSBROS-BL,18585
657HP30A,657HP30A-SG,1647
KAYNES,KAYNES-EQ,12092
712HR40,712HR40-SG,20775
666TN29,666TN29-SG,7050
JLHL,JLHL-EQ,18553
VSSL,VSSL-BL,27070
USK,USK-BL,14880
764GA30,764GA30-SG,20571
TNPL,TNPL-BL,12838
VIVIANA,VIVIANA-SM,10967
694AP37,694AP37-SG,3513
SJVN,SJVN-BL,18886
CENTENKA,CENTENKA-BL,12290
COCHINSHIP,COCHINSHIP-BL,21517
L&TFINANCE,L&TFINANCE-NQ,9644
JASH,JASH-BL,13984
IMFA,IMFA-EQ,19235
DWARKESH,DWARKESH-EQ,11667
KIRLFER,KIRLFER-BL,14468
726MH30,726MH30-SG,15973
746AP27,746AP27-SG,9530
764BR32,764BR32-SG,13242
65KA30,65KA30-SG,22368
69GA30,69GA30-SG,20148
IBMFNIFTY,IBMFNIFTY-EQ,9937
756TS48,756TS48-SG,14112
VALIANTORG,VALIANTORG-EQ,330
ELECON,ELECON-EQ,13643
667RJ30,667RJ30-SG,87
STEELCAS,STEELCAS-EQ,6803
683BR30,683BR30-SG,7043
AYMSYNTEX,AYMSYNTEX-EQ,10285
BAHETI,BAHETI-SM,12989
713AP36A,713AP36A-SG,6112
765GJ33,765GJ33-SG,13964
KOTAKSILVE,KOTAKSILVE-EQ,13082
SHANTI,SHANTI-BL,5657
77TN42,77TN42-SG,10844
SFMP50DD,SFMP50DD-MF,5592
655WB30,655WB30-SG,22178
VIKASLIFE,VIKASLIFE-BL,9932
SCHNEIDER,SCHNEIDER-EQ,31234
DHANILOANS,DHANILOANS-Y4,9520
HINDCON,HINDCON-BE,4924
732TS48,732TS48-SG,15783
TFCILTD,TFCILTD-EQ,3466
SPECTSTM,SPECTSTM-SM,16876
685NL31,685NL31-SG,3265
SBIETFCON,SBIETFCON-EQ,5168
HUDCO,HUDCO-N9,19930
IBULHSGFIN,IBULHSGFIN-Z3,11339
BGRENERGY,BGRENERGY-BL,15191
BBTC,BBTC-EQ,380
JUBLINDS,JUBLINDS-EQ,21541
745KL40,745KL40-SG,17653
66UP30,66UP30-SG,1086
652TS50,652TS50-SG,22304
KABRAEXTRU,KABRAEXTRU-EQ,1805
JINDALSAW,JINDALSAW-BL,12515
H1861D46DG,H1861D46DG-MF,8445
DELHIVERY,DELHIVERY-EQ,9599
CHOICEIN,CHOICEIN-EQ,8866
689MH32,689MH32-SG,4760
SDL24BEES,SDL24BEES-EQ,1143
FCSSOFT,FCSSOFT-BL,12364
TVSELECT,TVSELECT-EQ,11265
730WB29,730WB29-SG,22152
704TS51,704TS51-SG,3767
SFMP48DR,SFMP48DR-MF,5324
GS090324C,GS090324C-GS,3995
761TS32,761TS32-SG,14088
SHIVAMAUTO,SHIVAMAUTO-BL,13759
GRSE,GRSE-BL,5477
718CG27,718CG27-SG,22161
MGL,MGL-BL,17537
CINEVISTA,CINEVISTA-BL,12298
746GA38,746GA38-SG,18522
SUNDRMFAST,SUNDRMFAST-BL,12792
91D121023,91D121023-TB,17258
VOLTAS,VOLTAS-EQ,3718
APTECHT,APTECHT-EQ,10755
SYSTANGO,SYSTANGO-SM,14506
746GA33,746GA33-SG,18696
INDIACEM,INDIACEM-BL,12472
BSL,BSL-BL,12280
769KL40,769KL40-SG,11292
ROTO,ROTO-EQ,9049
IMFA,IMFA-BL,19238
SFMP6GD,SFMP6GD-MF,10055
TARMAT,TARMAT-BL,14773
758JH31,758JH31-SG,13368
GS121223C,GS121223C-GS,3957
654MP35,654MP35-SG,22297
781HR32C,781HR32C-SG,11690
705AS30,705AS30-SG,20774
735PY30,735PY30-SG,22028
695HR33,695HR33-SG,3696
SHOPERSTOP,SHOPERSTOP-BL,12751
QNIFTY,QNIFTY-BL,16820
654MH30,654MH30-SG,21932
77MH31,77MH31-SG,14424
679PN35,679PN35-SG,1007
NAHARINDUS,NAHARINDUS-EQ,13106
TIMETECHNO,TIMETECHNO-EQ,14707
MAHEPC,MAHEPC-BL,17606
693UP31,693UP31-SG,6558
689PN31,689PN31-SG,5560
670RJ50,670RJ50-SG,22070
PONNIERODE,PONNIERODE-BL,12680
793RJ45,793RJ45-SG,10645
684UP31,684UP31-SG,5887
65GJ30,65GJ30-SG,1075
757AS32,757AS32-SG,13112
784RJ32,784RJ32-SG,11691
679GS2029,679GS2029-GS,7195
NTPC,NTPC-N6,31768
UFIS2QPRP5,UFIS2QPRP5-MF,23848
TECHIN,TECHIN-BE,25194
646WB30,646WB30-SG,22269
704MZ30,704MZ30-SG,22019
710UP30,710UP30-SG,22083
KEI,KEI-BL,13314
IBULHSGFIN,IBULHSGFIN-ZQ,13443
NHAI,NHAI-N2,31040
AXISNIFTY,AXISNIFTY-EQ,21252
SHAHALLOYS,SHAHALLOYS-BL,12746
ABCOTS,ABCOTS-SM,7787
MADHUSUDAN,MADHUSUDAN-ST,18738
765HR30,765HR30-SG,13957
PURVA,PURVA-BL,14925
DUDIG-RE,DUDIG-RE-ST,19005
ICICI10GS,ICICI10GS-EQ,13143
MASTEK,MASTEK-EQ,2124
732MH32,732MH32-SG,16227
SASTASUNDR,SASTASUNDR-EQ,20063
SHYAMTEL,SHYAMTEL-EQ,13740
SHRIRAMFIN,SHRIRAMFIN-YP,6149
MEDICO,MEDICO-BL,9687
739TN52,739TN52-SG,8502
774TS48,774TS48-SG,14660
609AS26,609AS26-SG,6304
782RJ44,782RJ44-SG,10525
688WB40,688WB40-SG,1015
UTINEXT50,UTINEXT50-BL,21479
PAVNAIND,PAVNAIND-BL,16204
714AP41A,714AP41A-SG,6115
SFMP48GR,SFMP48GR-MF,5329
734MN32,734MN32-SG,8140
CYBERMEDIA,CYBERMEDIA-BL,12065
RBA,RBA-EQ,1494
68RJ24,68RJ24-SG,22053
AVONMORE,AVONMORE-BE,13566
661KA30,661KA30-SG,593
BROOKS,BROOKS-BL,25139
735UP34,735UP34-SG,8702
BANCOINDIA,BANCOINDIA-EQ,13880
766KL50,766KL50-SG,14563
730PN31,730PN31-SG,21894
ESABINDIA,ESABINDIA-EQ,955
66GA30,66GA30-SG,21389
OIL,OIL-BL,17441
BRIGADE,BRIGADE-EQ,15184
BAJAJHIND,BAJAJHIND-EQ,308
DHANI,DHANI-BL,15387
SGBD29VIII,SGBD29VIII-GB,7098
ALMONDZ,ALMONDZ-EQ,16719
67KL27,67KL27-SG,21916
LIQUIDBEES,LIQUIDBEES-EQ,11006
804AP42,804AP42-SG,9872
645RJ27,645RJ27-SG,2071
737NL33,737NL33-SG,16235
66AS30,66AS30-SG,1163
182D180124,182D180124-TB,17331
705PN31,705PN31-SG,2135
688MN31,688MN31-SG,2078
736ML32,736ML32-SG,16289
678AP38,678AP38-SG,3196
SHRIRAMPPS,SHRIRAMPPS-EQ,7200
LALPATHLAB,LALPATHLAB-BL,11685
73HP30,73HP30-SG,21051
TVSMOTOR,TVSMOTOR-BL,12850
669TS40,669TS40-SG,1655
H1158D46DG,H1158D46DG-MF,10500
732GS2024,732GS2024-GS,8274
G1NSETEST,G1NSETEST-EQ,12842
SECL,SECL-SM,13025
776MN35,776MN35-SG,14379
BHANDARI,BHANDARI-BE,19560
